257,3639,4171,,,,positive,3639;4171
258,2162,60846,,,,positive,2162;60846
259,3637,6883,,,,positive,3637;6883
260,3639,3749,,,,positive,3639;3749
261,3639,130881,,,,positive,3639;130881
262,3639,4946,,,,positive,3639;4946
263,3639,54892,,,,positive,3639;54892
264,23985,5564,,,,positive,23985;5564
265,37768,54686904,,,,positive,37768;54686904
266,149096,5486904,,,,positive,149096;5486904
267,5311054,5486904,,,,positive,5311054;5486904
268,104838,5486904,,,,positive,104838;5486904
269,31703,25941591,,,,positive,31703;25941591
270,2130,65028,37542,,,positive,2130;65028;37542
271,2764,5578,,,,positive,2764;5578
272,3767,441401,5381226,,,positive,3767;441401;5381226
273,4943,60815,,,,positive,4943;60815
274,6249,3467,,,,positive,6249;3467
275,7187,29029,71752332,,,positive,7187;29029;71752332
276,9568614,4173,54675776,,,positive,9568614;4173;54675776
277,32798,47576,,,,positive,32798;47576
278,60953,60838,,,,positive,60953;60838
279,146570,11597697,,,,positive,146570;11597697
280,5816,3826,5288826,175805,,positive,5816;3826;5288826;175805
281,5281078,5284616,,,,positive,5281078;5284616
282,33613,5280980,43672,123630,,positive,33613;5280980;43672;123630
283,5311309,60846,,,,positive,5311309;60846
284,2907,148124,41867,208908,,positive,2907;148124;41867;208908
285,2130,71306834,37542,,,positive,2130;71306834;37542
286,2130,31703,36432,5978,,positive,2130;31703;36432;5978
287,772,54678486,,,,positive,772;54678486
288,85668777,60750,,,,positive,85668777;60750
289,3767,6323497,,,,positive,3767;6323497
290,5284616,60947,,,,positive,5284616;60947
291,42890,667490,126941,444795,,positive,42890;667490;126941;444795
292,2130,31703,36314,3001322,,positive,2130;31703;36314;3001322
293,77999,11243969,,,,positive,77999;11243969
294,5281078,5865,24801580,,,positive,5281078;5865;24801580
295,208908,36314,,,,positive,208908;36314
296,2767,31703,,,,positive,2767;31703
297,91992242,3152,,,,positive,91992242;3152
298,148192,54671008,,,,positive,148192;54671008
299,2082,6321424,4891,,,positive,2082;6321424;4891
300,5073,3121,,,,positive,5073;3121
301,387447,460612,5865,,,positive,387447;460612;5865
302,5353562,5394,,,,positive,5353562;5394
303,4195,383414,,,,positive,4195;383414
304,24801580,3385,60838,6006,,positive,24801580;3385;60838;6006
305,439260,72081,,,,positive,439260;72081
306,60953,36314,,,,positive,60953;36314
307,23676225,443879,,,,positive,23676225;443879
308,3386,5002,5656,,,positive,3386;5002;5656
309,9915743,5311497,,,,positive,9915743;5311497
310,9831414,54454,,,,positive,9831414;54454
311,2130,31703,9915743,36314,3001322,positive,2130;31703;9915743;36314;3001322
312,24801580,3385,60838,,,positive,24801580;3385;60838
313,10112,5280795,,,,positive,10112;5280795
314,36462,3690,119525,24801580,27838641,positive,36462;3690;119525;24801580;27838641
315,24839622,28151905,,,,positive,24839622;28151905
316,148192,392622,3010818,,,positive,148192;392622;3010818
317,24995515,37542,,,,positive,24995515;37542
318,28457410,5284373,5281078,,,positive,28457410;5284373;5281078
319,9887712,4091,,,,positive,9887712;4091
320,85668777,3385,60838,6006,,positive,85668777;3385;60838;6006
321,107969,28450894,,,,positive,107969;28450894
322,444036,44473151,5152,,,positive,444036;44473151;5152
323,12035,2973,,,,positive,12035;2973
324,104741,159324,,,,positive,104741;159324
325,28450894,54684141,,,,positive,28450894;54684141
326,5284603,5486971,,,,positive,5284603;5486971
327,60953,5329102,,,,positive,60953;5329102
328,5816,3826,175805,,,positive,5816;3826;175805
329,148124,36081361,,,,positive,148124;36081361
330,2767,148124,446556,,,positive,2767;148124;446556
331,9444,444795,3121,,,positive,9444;444795;3121
332,518740,6253,30323,667490,126941,positive,518740;6253;30323;667490;126941
333,2789,2802,443879,,,positive,2789;2802;443879
334,3035714,446556,,,,positive,3035714;446556
335,14052,152946,1046,5381226,,positive,14052;152946;1046;5381226
336,2972,2973,,,,positive,2972;2973
337,3385,6006,9887053,28486761,,positive,3385;6006;9887053;28486761
338,2907,134019,5865,24801580,5978,positive,2907;134019;5865;24801580;5978
339,60823,150311,,,,positive,60823;150311
340,148124,9910224,,,,positive,148124;9910224
341,5280965,5493381,,,,positive,5280965;5493381
342,441130,152946,,,,positive,441130;152946
343,2165,65664,4908,,,positive,2165;65664;4908
344,157920,174,,,,positive,157920;174
345,441300,60825,92727,392622,,positive,441300;60825;92727;392622
346,6037,126941,6741,24801580,,positive,6037;126941;6741;24801580
347,16088021,4091,4829,,,positive,16088021;4091;4829
348,192197,6918010,,,,positive,192197;6918010
349,3083544,5487426,,,,positive,3083544;5487426
